"K","Linf_mm","L50_mm","L95_mm","R0_thousands"
0.0610528,1202.89,394.519,399.81204,1432.60536627128
0.0660482,1133.6,393.078,400.04111,1453.965601539
0.074235,1067.24,397.739,410.0583,1430.21491189457
0.102539,942.013,393.027,398.28315,1438.37603110866
0.102109,918.822,396.974,407.9962,1446.62711761717
0.0844818,1035.47,400.201,413.3725,1386.55842133087
0.0722583,1090.63,393.529,398.39477,1456.48313907174
0.0919409,973.087,393.595,398.47573,1420.23836615891
0.0682024,1126.15,403.334,415.8492,1430.90157983941
0.0889615,976.567,393.128,398.05202,1456.17730972574
0.0479775,1363.48,394.414,403.75135,1441.57277296828
0.0413008,1500,392.299,396.4692,1450.1466960689
0.0820564,1022.54,392.481,397.2729,1443.44803623016
0.0412304,1464.33,399.458,410.9519,1484.37635490397
0.0721931,1103.34,392.951,397.38403,1406.07863644588
0.0507625,1314.28,393.912,397.84791,1450.29171798948
0.07006,1079.1,400.76,413.9778,1491.48865874453
0.083951,983.475,399.183,413.7582,1514.48390024286
0.0781472,1028.97,399.496,415.937,1490.48969603305
0.0763891,1058.7,397.275,405.73485,1435.44473494386
