"","case","ratio","l_at_age_max","likelihood"
"1","Baseline_KnifeEdge40cm_Fp4_Mp05_K_LINF_cvp2",0.2,84.7713,4194.19
"2","Baseline_LessSteepSel_L95eq45_K_LINF_cvp2",0.2,72.5269,5148.98
"3","OneWayTrip_FRising10YrsFr0top25_Mp15_K_LINF_cvp2",0.2,103.67,5218.13
"4","OneWayTrip_LessSteepSel_L95eq45_K_LINF_cvp2",0.2,92.6764,5454
"5","Baseline_KnifeEdge40cm_Fp4_Mp05_K_LINF_cvp2",0.3,97.5078,3508.28
"6","Baseline_LessSteepSel_L95eq45_K_LINF_cvp2",0.3,85.7276,3953.71
"7","OneWayTrip_FRising10YrsFr0top25_Mp15_K_LINF_cvp2",0.3,102.673,4551.58
"8","OneWayTrip_LessSteepSel_L95eq45_K_LINF_cvp2",0.3,98.1482,4711.51
"9","Baseline_KnifeEdge40cm_Fp4_Mp05_K_LINF_cvp2",0.4,98.3957,3414.52
"10","Baseline_LessSteepSel_L95eq45_K_LINF_cvp2",0.4,92.2327,3845.95
"11","OneWayTrip_FRising10YrsFr0top25_Mp15_K_LINF_cvp2",0.4,105.518,4452.44
"12","OneWayTrip_LessSteepSel_L95eq45_K_LINF_cvp2",0.4,99.4715,4582.73
"13","Baseline_KnifeEdge40cm_Fp4_Mp05_K_LINF_cvp2",0.6,66.3016,3579.82
"14","Baseline_LessSteepSel_L95eq45_K_LINF_cvp2",0.6,89.5407,3833.26
"15","OneWayTrip_FRising10YrsFr0top25_Mp15_K_LINF_cvp2",0.6,102.307,4415.53
"16","OneWayTrip_LessSteepSel_L95eq45_K_LINF_cvp2",0.6,99.899,4555.82
"17","Baseline_KnifeEdge40cm_Fp4_Mp05_K_LINF_cvp2",0.8,91.2161,3406.83
"18","Baseline_LessSteepSel_L95eq45_K_LINF_cvp2",0.8,83.8362,3835.69
"19","OneWayTrip_FRising10YrsFr0top25_Mp15_K_LINF_cvp2",0.8,105.87,4420.98
"20","OneWayTrip_LessSteepSel_L95eq45_K_LINF_cvp2",0.8,99.9467,4554.68
"21","Baseline_KnifeEdge40cm_Fp4_Mp05_K_LINF_cvp2",1,81.1271,3416.96
"22","Baseline_LessSteepSel_L95eq45_K_LINF_cvp2",1,78.6492,3837.67
"23","OneWayTrip_FRising10YrsFr0top25_Mp15_K_LINF_cvp2",1,102.468,4415.9
"24","OneWayTrip_LessSteepSel_L95eq45_K_LINF_cvp2",1,99.8621,4555.88
"25","Baseline_KnifeEdge40cm_Fp4_Mp05_K_LINF_cvp2",1.2,69.284,3605.91
"26","Baseline_LessSteepSel_L95eq45_K_LINF_cvp2",1.2,74.5972,3839.12
"27","OneWayTrip_FRising10YrsFr0top25_Mp15_K_LINF_cvp2",1.2,102.445,4417.59
"28","OneWayTrip_LessSteepSel_L95eq45_K_LINF_cvp2",1.2,99.74,4557.64
"29","Baseline_KnifeEdge40cm_Fp4_Mp05_K_LINF_cvp2",1.4,NA,NA
"30","Baseline_LessSteepSel_L95eq45_K_LINF_cvp2",1.4,71.5782,3840.13
"31","OneWayTrip_FRising10YrsFr0top25_Mp15_K_LINF_cvp2",1.4,102.399,4419.23
"32","OneWayTrip_LessSteepSel_L95eq45_K_LINF_cvp2",1.4,99.6188,4559.41
"33","Baseline_KnifeEdge40cm_Fp4_Mp05_K_LINF_cvp2",1.6,75.8763,3497.97
"34","Baseline_LessSteepSel_L95eq45_K_LINF_cvp2",1.6,69.3471,3840.83
"35","OneWayTrip_FRising10YrsFr0top25_Mp15_K_LINF_cvp2",1.6,102.349,4420.69
"36","OneWayTrip_LessSteepSel_L95eq45_K_LINF_cvp2",1.6,99.5121,4561
